week_start,channel,total_interactions,avg_handle_time_minutes,resolution_rate,customer_satisfaction_score,total_cost,cost_per_interaction
2025-07-28,Chat,553,11.62,0.7559,4.38,414.75,0.75
2025-07-28,WhatsApp,249,8.65,0.8741,3.81,124.5,0.5
2025-08-04,Phone,966,12.67,0.7291,4.44,2415.0,2.5
2025-08-04,Email,438,14.66,0.8428,4.45,438.0,1.0
2025-08-04,Chat,438,8.49,0.7375,4.24,328.5,0.75
2025-08-04,WhatsApp,226,8.43,0.7486,4.44,113.0,0.5
2025-08-11,Phone,1069,13.42,0.8337,4.69,2672.5,2.5
2025-08-11,Email,322,11.63,0.7101,4.18,322.0,1.0
2025-08-11,Chat,493,8.91,0.8949,4.44,369.75,0.75
2025-08-11,WhatsApp,241,9.76,0.8178,4.24,120.5,0.5
2025-08-18,Phone,1196,13.68,0.7232,3.9,2990.0,2.5
2025-08-18,Email,423,14.29,0.9138,4.17,423.0,1.0
2025-08-18,Chat,576,10.26,0.8453,4.87,432.0,0.75
2025-08-18,WhatsApp,263,8.74,0.7923,3.51,131.5,0.5
2025-08-25,Phone,1166,12.9,0.7385,4.88,2915.0,2.5
2025-08-25,Email,402,10.33,0.7326,4.32,402.0,1.0
2025-08-25,Chat,532,10.12,0.739,3.44,399.0,0.75
2025-08-25,WhatsApp,370,8.84,0.8325,4.37,185.0,0.5
2025-09-01,Phone,1199,13.87,0.9084,4.67,2997.5,2.5
2025-09-01,Email,344,13.93,0.7225,4.63,344.0,1.0
2025-09-01,Chat,538,9.99,0.8058,3.94,403.5,0.75
2025-09-01,WhatsApp,287,7.45,0.726,3.49,143.5,0.5
2025-09-08,Phone,843,15.04,0.854,3.93,2107.5,2.5
2025-09-08,Email,377,8.24,0.9091,3.59,377.0,1.0
2025-09-08,Chat,465,6.83,0.7173,4.42,348.75,0.75
2025-09-08,WhatsApp,297,6.65,0.8559,3.76,148.5,0.5
2025-09-15,Phone,861,15.96,0.6955,4.47,2152.5,2.5
2025-09-15,Email,384,12.18,0.9156,4.0,384.0,1.0
2025-09-15,Chat,536,9.98,0.6952,4.63,402.0,0.75
2025-09-15,WhatsApp,206,5.47,0.7162,4.33,103.0,0.5
2025-09-22,Phone,830,17.02,0.8273,4.21,2075.0,2.5
2025-09-22,Email,479,12.41,0.905,3.92,479.0,1.0
2025-09-22,Chat,481,8.65,0.8625,3.45,360.75,0.75
2025-09-22,WhatsApp,250,7.15,0.9126,4.53,125.0,0.5
2025-09-29,Phone,1187,16.63,0.846,3.48,2967.5,2.5
2025-09-29,Email,317,13.37,0.7485,4.1,317.0,1.0
2025-09-29,Chat,441,6.78,0.8721,3.9,330.75,0.75
2025-09-29,WhatsApp,247,9.09,0.9146,3.93,123.5,0.5
2025-10-06,Phone,1195,15.88,0.8294,4.47,2987.5,2.5
2025-10-06,Email,463,13.66,0.8088,4.81,463.0,1.0
2025-10-06,Chat,575,10.95,0.7717,3.91,431.25,0.75
2025-10-06,WhatsApp,213,9.95,0.8404,4.13,106.5,0.5
2025-10-13,Phone,1161,15.19,0.8099,3.49,2902.5,2.5
2025-10-13,Email,345,14.1,0.6902,4.7,345.0,1.0
2025-10-13,Chat,430,7.62,0.8875,4.68,322.5,0.75
2025-10-13,WhatsApp,320,5.18,0.8969,4.25,160.0,0.5
2025-10-20,Phone,809,14.5,0.782,4.09,2022.5,2.5
2025-10-20,Email,381,13.19,0.7917,3.95,381.0,1.0
2025-10-20,Chat,458,8.74,0.9195,4.34,343.5,0.75
2025-10-20,WhatsApp,356,5.18,0.7015,4.86,178.0,0.5
2025-10-27,Phone,990,15.97,0.8549,4.62,2475.0,2.5
2025-10-27,Email,332,8.92,0.8187,3.44,332.0,1.0
2025-10-27,Chat,467,7.98,0.731,4.08,350.25,0.75
2025-10-27,WhatsApp,350,8.98,0.7078,4.48,175.0,0.5
2025-11-03,Phone,817,16.0,0.7895,4.51,2042.5,2.5
2025-11-03,Email,358,14.56,0.7515,4.19,358.0,1.0
2025-11-03,Chat,533,8.01,0.7128,3.79,399.75,0.75
2025-11-03,WhatsApp,224,8.1,0.784,3.52,112.0,0.5
2025-11-10,Phone,844,16.19,0.7487,4.54,2110.0,2.5
2025-11-10,Email,398,13.85,0.689,3.99,398.0,1.0
2025-11-10,Chat,539,6.98,0.8208,4.1,404.25,0.75
2025-11-10,WhatsApp,343,5.44,0.6932,4.23,171.5,0.5
2025-11-17,Phone,1058,17.95,0.8954,4.6,2645.0,2.5
2025-11-17,Email,491,13.85,0.8669,3.87,491.0,1.0
2025-11-17,Chat,494,7.32,0.7218,3.8,370.5,0.75
2025-11-17,WhatsApp,372,7.9,0.9086,3.51,186.0,0.5
2025-11-24,Phone,1168,17.62,0.8019,4.25,2920.0,2.5
2025-11-24,Email,450,9.06,0.8114,4.79,450.0,1.0
2025-11-24,Chat,583,11.02,0.7597,4.72,437.25,0.75
2025-11-24,WhatsApp,223,5.5,0.8644,3.42,111.5,0.5
2025-12-01,Phone,816,15.67,0.8849,4.13,2040.0,2.5
2025-12-01,Email,351,11.72,0.8102,3.95,351.0,1.0
2025-12-01,Chat,520,8.34,0.6819,3.56,390.0,0.75
2025-12-01,WhatsApp,337,5.43,0.7325,4.09,168.5,0.5
2025-12-08,Phone,923,15.75,0.899,4.66,2307.5,2.5
2025-12-08,Email,361,11.18,0.6828,4.86,361.0,1.0
2025-12-08,Chat,457,9.05,0.8234,3.42,342.75,0.75
2025-12-08,WhatsApp,256,7.2,0.791,4.45,128.0,0.5
2025-12-15,Phone,966,15.81,0.879,4.65,2415.0,2.5
2025-12-15,Email,325,10.82,0.79,4.53,325.0,1.0
2025-12-15,Chat,474,11.86,0.8552,3.57,355.5,0.75
2025-12-15,WhatsApp,359,6.97,0.8151,4.42,179.5,0.5
2025-12-22,Phone,1124,13.4,0.8738,3.42,2810.0,2.5
2025-12-22,Email,373,9.93,0.7439,3.98,373.0,1.0
2025-12-22,Chat,588,6.74,0.7993,4.71,441.0,0.75
2025-12-22,WhatsApp,276,6.39,0.7231,3.86,138.0,0.5
2025-12-29,Phone,938,17.57,0.8835,4.84,2345.0,2.5
2025-12-29,Email,434,10.43,0.7952,3.97,434.0,1.0
2025-12-29,Chat,562,8.13,0.8565,4.64,421.5,0.75
2025-12-29,WhatsApp,243,5.66,0.8463,4.36,121.5,0.5
